"V1","V2"
"tearsoflys1x1","“ o tioooo eu vou chamar o meu rei “ No dia seguinte ao baile Maggie precisava retomar o seu ritmo normal e mesmo que desejasse voltar para casa ela não poderia perder a oporturnidade de ler os escritos secretos dos meistres .Ela chegou até os livros e ficou admrada com todo o conhecimento  porem ..."
"marinela1981","Fogos luzes abraços amigos beijos família sorrisos lágrimas.Velhas promessas novas esperanças.Lembranças de momentos felizes lembranças daqueles que amamos.Desejo um Ano Novo cheio de bons sentimentos que novos e velhos sonhos sejam concretizados e que nunca falte o amor e a amizade!Que ..."
"brainfluid98","now my friends ignore me. that’s great. just awesome."
"bestofhawaiius","Explore different packages best snorkeling in Hawaii tour"
"goodmorningdcts","Say “I love you<e2><U+0080>? to your friends sincerely and often"
"itsernestok","The mystery begins…"
"achieversacademy05","Clear IBPS Bank Exam In First Attempt At A Competitive Price At present there is the government has changed the criterion of selecting the talent Probationary Officer and clerk. In order to select the best talent people IBPS entrance exams are conducted all over India. Student all over the country ..."
"arpandental","The Best Cosmetic Aesthetic Dentistry In Mumbai - Arpan Dental If you are Looking in Cosmetic Aesthetic Dentistry In Mumbai. Arpan Dental is best for Cosmetic Aesthetic Dentistry.Cosmetic dentistry is basically used to refer to any dental work that has the power to improve appearance. We are Famous  ..."
"ajivasanhalls","The Best Banquet Halls in Mumbai - Ajivasan Hall If you are Looking for Banquet Halls in Mumbai . Ajivasan Hall is best for Banquet Halls.The hall provided by this organization is ideally used as a banquet hall with an Affordable price.Click here:- http://bit.ly/2Bt2yRW"
"Previdência Social","O prazo é para os segurados que não fizeram a comprovação de vida relativo ao ano de 2017. Para mais informações acesse o link http://www.previdencia.gov.br/2017/12/beneficios-segurados-devem-realizar-comprovacao-de-vida-ate-o-dia-28-de-fevereiro-de-2018"
"José Reinaldo Almeida","Bom dia previdência social quem aposentou em 2017 tem que fazer esse ano?"
"Luis Antonio De Aguiar Aguiar","Não sei como ainda estou no mundo da ilusão da 3a. dimensão no mundo de Mamon no mundo da matéria não sei como ainda estou vivo recebendo a esmola que vocês me concederam.Descontaram 50% do meu benefício meteram a mão aplicaram o DUPLO REDUTOR 30% + Fator após 32 anos de contribuição inint ..."
"Wandamara Berndt Stinghen","Previdência entrando em colapso por falta de servidores com pessoas aptas e aprovadas esperando serem nomeadas #NomeiaTodosINSS"
"Ceia Euzebia","Quando o segurado não for informado pelo banco o que deve ser feito previdência social?"
"Marcia Cristina","Previdência Social boa tarde gostaria de saber quando a tabela para aliquota de contribuição de 2018 estara disponivel no vosso site https://www.inss.gov.br/servicos-do-inss/calculo-da-guia-da-previdencia-social-gps/  é que só tem a tabela de 2017 de aliquota de contribuição =/"
"Leila Faquim","Boa noite. Gostaria de saber qual o índice de de aumento pra quem ganha mais de um salário mínimo. Obrigada."
"Luis Steffen","Previdência social como faço pra saber se minha prova de vida está em dia?"
"Thiago Fellipe Cardoso","Bom dia Previdência Social! Sou Microempreendedor Individual e tenho o hábito de pagar os boletos da minha empresa na internet tenho como comprovante de pagamento dos boletos no site da receita federal no site da previdência social (INSS) e tenho todas as cópias salva em meu email no formato de PD ..."
"Maria Luiza Faria","Boa tarde eu ha fiz comprovação de  vida em março eu tenho que fazer de novo"
"Bruna Silva","So aposentados que tem que fazer essa prova de vida?? Ou quem trabalha de carteira assinada tbm??"
"Nilson Pimentel","Galera lembrem que a prova de vida é feita no banco não no INSS."
"Luany Miyoshi","Não estou conseguindo preencher a GPS o campo do salário de contribuição fica incorreto! Coloco R$ 95400 e não dpa certo"
"Samia Santos","Quem comprovou no caixa eletrônico  precisa comparecer junto ao banco pagador?"
"Diogo Martins","Luciana Macedo por favor veja esta reportagem e fale com a mamãe."
"Rodrigo Evangelista Santos Evangelista Santos","PROFUNDAS REVERÊNCIAS PS."
"Rodrigo Evangelista Santos Evangelista Santos","EXCELÊNCIA NACIONAL PS."
"Marlene Pizzio","Ja fiz!!! Obrigada Por informar!!"
"Lucilene Mariano","Pra quem recebe pensão por morte precisa fazer isso"
"Rejane Fernandes","Fiz em agosto/2017.Tenho que fazer agora novamente?"
"Maria Elizabeth Villacorta","O meu marido fez em setembro vai precisar fazer novamente ?"
"Patrícia Santos","Isso vale  pra quem  recebe auxílio doença?"
"Delvito da Alfa","Previdência como denuncio um BPC LOAS indevido?"
"Fernanda Máira","A biometria bancária é uma exigência do INSS?"
"Vilma Oliveira","E para este ano já esta fazendo ?"
"Nilson Pimentel","A primeira vista li REALIZE seu sonho kkkkkk"
"Previdência Social","Governo mantém compromisso com ajuste fiscal e não flexibilizará regra de ouro. Ministros Meirelles e Dyogo Oliveira afirmam que prioridade do governo é aprovar a reforma da Previdência."
"Walter Sousa","Você não sabe ou está prejudicando a população brasileira de propósito junto esse temer que não merecia está aí onde está está devido o golpe que é outros  ..."
"Rodrigo Evangelista Santos Evangelista Santos","BRILHANTES PROGRESSOS."
"Eliandro Simão","Está reforma jamais passará! !!!"
"Daniel Dos Santos Ambrósio","EXCRECENCIA SOCIAL EXCRECENCIA SOCIAL EXCRECENCIA SOCIAL EXCRECENCIA SOCIAL EXCRECENCIA SOCIAL EXCRECENCIA SOCIAL"
"Previdência Social","Receita abre hoje (8/1) a consulta ao lote residual de restituição multiexercício do IRPF do mês de JAN/2018.Consulte aqui: https://goo.gl/wXVvpeO lote multiexercício de restituição do Imposto sobre a Renda da Pessoa Física contempla as restituições residuais referentes aos exercícios de 2008 a ..."
"Karenine Falcão","estou tentando acesso no site do inss através de senha fornecida no proprio inss e nao está validando meus dados. o que devo fazer? no aguardo."
"Julia De Sousa","'Bom dia alguem sabe onde posso fazer a inscrição para o concurso do inss para o cargo de Técnico do Seguro Social"
"Débora Nunes","pagamento atrasado de gps tem que pagar todas ou pode pagar uma de cada vez"
"Luis Antonio De Aguiar Aguiar","Tá tudo dominado junto e misturado Governo Congresso Justiça.Salve--se quem puder"
"Previdência Social","Manter o Cadastro Único atualizado é fundamental para continuar recebendo o #BolsaFamília e outros benefícios assistenciais como o BPC/LOAS. http://goo.gl/CYD6FG"
"Carolina Dantas","Quero dar entrada no salário maternidade mas toda vez a ligação cai! Tem como eu agendar no próprio posto? Como faço?"
"Valdirene Nunes Ferreira","Preciso cadastrar NIT e está com erro na página. O que devo fazer?"
"Vitor Faro Sep","Queria também registrar uma reclamação quanto ao acesso ao site meu inss. Perdi a senha e fui tentar recriar uma acontece que pra isso precisamos responder antes a 5 perguntas do arco da velha do tipo quando foi a minha última contribuição? Tenho 22 anos de aposentado e não me recordo por isso m ..."
"Artur Almeida","O INSS está abandonado! Precise do serviço e verás como está. Não tem servidores para atender às pessoas e a tendência é a situação piorar pois muitos servidores estão em condições de se aposentar. Enquanto isso muitos aprovados no último concurso estão esperando ser nomeados. É um descaso total!"
"Tamires Ricelly","Porque o meu bcp so  esta caindo na conta dia 4 ? Ja que a maioria recebe dia 1 ? Quer dizer guando foi concedido a mim  o salario falaram que o primeiro salario caia dia 4 mais que ia fica descendo a data pra chega dia 1 ? E ficaria todo dia 1. Será que tem algo errado ou e normal ?"
"Vitor Faro Sep","não consigo abrir manifestação na ouvidoria do INSS no site meuinss  o que está acontecendo?"
"Cinthia Souza","Estou com dificuldade para ligar para o 135 tanto de fixo quanto de celular. A central de atendimento está com problema?"
"Marcos Santos Silva","Duas pessoas na mesma família dois deficiente a renda de um bpc nao entra co cômputo de renda per capita li em augus saíste que tem uma lei que não pode nem de idoso nem de deficiente e em todos estados ou so em alguns"
"Alyne Bittencourt","Olá o 135 está fora do ar?Ligo mas só dá ocupado ou não completa a ligação"
"Carol Monteiro","Sou contribuinte individual e gostaria de saber quanto irei passar a pagar em 2018. Contribui com 11% em 2017 pagava $10307."
"Maria Gomes","Boa tarde alguem sabe me informa qts vai subi o INSS pra quem paga o minimo pra previdência"
"Kivia Lima Potiguara","ONDE POSSO REGISTRAR UMA RECLAMAÇÃO OU DENUCIA.. POSSO FAZER ISSO AQUI??"
"Suelma Viana","Meu BPC era pra tar na conta dia 1 e até agora nada..."
"Rafael Mota","Recebo BPC e moro sozinho preciso me cadastrar?"
"Luis Antonio De Aguiar Aguiar","Pobre povo brasileiro vive de migalhas que caem da mesa dos marajás da ilha da fantasia.Vejam o artigo 7° inciso IV da Constituição que trata do Salário Mínimo.Tem que ser capaz de atender as necessidades vitais básicas de uma família tais como: Moradia alimentação educação saúde lazer vestuário ..."
"Ricardo Oliveira","Essa informação tem q  ser passada para os idososvcs acha que idoso tem acesso a internet? Principalmente idosos d baixa renda."
"Carlos Martins Ferreira Brum","Brasileiros manter o Cadastro Único atualizado é de suma importância para os respectivos benefícios. Também assim o farei com o meu C.U. mantendo atualizado."
"Rodrigo Evangelista Santos Evangelista Santos","PATRIMÔNIO NACIONAL PS."
"Rodrigo Evangelista Santos Evangelista Santos","ESTRELA NACIONAL PS."
"Vilson Garciamartins","verdade"
"Andreia L. Ribeiro","Que quem"
"Sofia Maria","PARABÉNS POR NOS MANTER INFORMADOS"
"Diego Allysson","Essa previdência é completamente uma piada!!!!!"
"True Liberal News","LIKE our page help"
"Paulinho Lin","'minha esposa recebeu a ultima pacela do salario martenidade pelo inss so que no comprovante que ela pegou a ultima parcela veio falando que  a proxima parcela vai ser 02/02/2018    e ela comecou a receber 600"
"Previdência Social","Veja esse e outros serviços no link: https://meu.inss.gov.br/central/index.html"
"Maria Gomes","Bom dia alguem sabe me informa quantos vai fica o INSS pra quem paga o mínimo pra previdência"
"Aurélio Lara Junior","Tenho 32 anos de contribuição e 59 de idade já posso requerer minha aposentadoria mesmo que parcial ?"
"Marcos Santos Silva","Li em alguns sites que não pode contar como renda um box deficiente para otiro deficiente no caso de ter mas de um deficiente e ir fazer o pedido do bpc tem essa lei msm"
"Jose Carlos Salles","Como conseguir entrar no meu INSS. É muito incompetência . Não consigo entrar nessa porcaria."
"Mirian Groeger","Estou tentando entrar na minha conta no site meu inss e está dando divergências nos dados cadastrais.  Mas nada mudou e a informação está correta. O que devo fazer?  Estou no exterior."
"Kleber Silva","Pq é tão dificil ver meu extrato?? tem que sucatear pra aprovar as reformas??"
"Juan Carlos","outra duvida tenho uma senha de 9 digitos cadastrado no inss atravez do cnis sóque quero ver os documentos de meu recurso e ao pedirem o cad senha coloco minha senha e eles pedem uma senha de 4 digitos porque?"
"Maria José","Isso nao funciona ja tentei varias vezes e só dá invalido"
"Keu Santos","Dia 14/08/2017 fiz uma cirurgia de cálculo renal onde foi colocado um catéter no rim. Foi concedido o benefício até 15/12/2017. No início de outubro retirei o catéter. Só q em novembro tive outra crise renal onde i catéter foi colocado novamente. Solicitei prorrogação do benefício pois sinto dores  ..."
"Maria Abade","Endometriose - Tornar a doença reconhecida pelo INSS como uma doença incapacitante.A endometriose causa dores incapacitantes que refletem na vida profissional. Muitas precisam ir para emergências e faltam por causa das dores. A doença ainda não esta no rol de doenças do INSS. Vamos assinar e fazer ..."
"Juan Carlos","boa noite dei entrada em minha aposentadoria por tempo de serviço em janeiro de 2017  pois ja completei os 35 anos exigido só que  ao fazerem as contas faltaram 1 ano pois uma empresa nao tinha pago meu inss  e foi indefirida minha aposentadoria  fui a empresa e eles fizeram os pagamentos levei tudo ..."
"Sandrine Antiana","Meu auxilio doença foi negado pq o INSS alegou q eu não sou contribuinte?? Como assim ?? Trabalho de carteira assinada a 4 anos e tenho 10 anos de contribuição.  A empresa disse q os depósito foram feitos . Oq fazer Agora??"
"Emerson Almeida","CNIS? Autarquia incompetente que não faz uma pagina online que presta fica pedindo para mudar a senha e depois não reconhece.Digo estou insatisfeito"
"Cristina Prado","Trabalhei a vida toda 4 horas ganhando menos de um salario terei problema ns hora de aposentar"
"Elizangela Vilela","Quanto tempo para enviarem a carta de averbação de tempo de serviço? Como podemos acompanhar?"
"Stella Costa","Estão roubando tudo mês 200 reais de minha neta o valor é dê 615 só recebe 400 inss não dá explicação já fui lá continuam roubsndo inss de bangu muita sacanagem tirando de quem precisa eles dão desculpa esfarrapadas quero á pensão pôr morti de pai de minha nera direito vou colocar inss de bangu na j ..."
"Lucas Aurélio","Queria saber porque meu dinheiro só está vindo 918 reais nesse mês de aumento no salário mínimo."
"Aparecida Mendes","Mudar o endereço que consta no benefício BCP pelo site pode?? Mesmo sendo de um estado apra o outro?"
"Rodolfo Afonso","Previdência Social o único valor possível de um desempregado contribuir para ter direito à aposentadoria é aquele de 20% sobre o salário mínimo?"
"Ilmar Silva","Já consultei marquei agenda compareci fui mal atendido e sigo sem resposta!!!!"
"Simone Pinto","Boa tarde. Gostaria de saber para quem contribui com código de pagamento 1163. Qual o valor da contribuição competência janeiro/2018"
"Ana Maria Moreira","Eu queria agendar o auxilio de doenca do meu filho ele esta internado fazendo tratamento ele estava trabalhando registrado faz quatro mes queeles mando ele embora eu moro em barretos eu sou. A mae dele o nome do meu filho e Anderson moreira de Oliveira on da identidade dele e 37.024.817-X o CPF e394 ..."
"Evandro de Oliveira","Parei de contribuição como empregado em julho de 2016 abri uma mei paguei  até setembro 16. Precisando fazer uma cirurgia de hérnia tenho direito a auxílio doença"
"Jaqueline Pimentel","A pessoa que ja trabalha de carteira assinada caso queira pode pagar também o carnê da previdência social?"
"Marcos Santos Silva","E a neurofibromatose da direito ao bpc ela e consideitada como deficiência física pela característica da doença tem a lei que garante como deficiência."
"Previdência Social","O segurado que está com as contribuições da Previdência Social atrasadas por período de até cinco anos pode regularizar os recolhimentos no portal do INSS (inss.gov.br). Para cálculo de períodos mais antigos o contribuinte deve se dirigir até uma Agência da Previdência Social. Saiba mais: goo.gl/ ..."
"Amanda M. Castilho","'Estou tentando agendar no site perícia para prorrogação de auxilio doença e a página está dando erro ''Invalid Host Specified'' . O que pode estar causando isso?'"
"Alexandre Dominguez Dos Reis","Qual é o valor minimo de contribuição a partir de Janeiro de 2018!?"
"Carla Isidoro","Boa tardeEncontro – me em Portugal e o meu pai também estamos a tentar fazer o cadastro dele no vosso site e não estamos a conseguirPreciso da vossa ajuda para que ele tenha acesso aos vossos serviços para se manter informado e também porque gostaria de tentar entender porque deixou de receber a ..."
"Marta Damas","Bom dia por favor biopirataria dr sabet como cálculo o valor de Pagto de 2 meses de passei da data de contribuição ambos são de 2017."
"Lucimar Barbosa","Eu pago código 1163 gostaria de saber pra conto vai a contribuição desde ja agradeço"
"Gabriela Carla","Boa tarde eu estou grávida e faz mais de dois anos que não tive carteira assinada atualmente sou vendedora de cosméticos posso pagar como autônoma para ter direito ao salário maternidade? E se eu quiser posso pagar mais de um mês juntos??"
"Ehlenasarah St","Bom dia. Recebo 1.24000 de aposentadoria e soube que nosso aumento em 2018 será em tôrno de 1%. Se quem recebe o salario mínimo o aumento em porcentagem é sempre maior então daqui a um tempo receberemos um salário mínimo isso é justo? Paguei mais e contribuí 30 anos!"
"Ricardo Kadão","Boa Tarde  o Recadastramento foi adiado para o mês de fevereiro acontece que recebo minha aposentadoria como crédito em conta corrente na caixa. É preciso recadastrar?"
"Marlene Pizzio","Mas. Que eu saiba nao recupera o tempo!!"
"Zilda Germano","Meu filho pagou dois anos e parou pode continuar pagando"
"Manoel Trajano","Gostaria de saber como contribuir individualmente"
"Valdir Ferreira","Se a patroa não está depositando o INSS como denunciar"
"George Martins","Inclusive a do complemento do MEI?"
"Zilda Germano","É autônomo"
"Luis Antonio De Aguiar Aguiar","contribuí por 32 anos aplicaram o DUPLO REDUTOR 30% + Fator descontaram 50% do benefício hoje recebo esmola e estou enforcado na Máfia dos consignados para sobreviver.Salve--se quem puder."
"Keu Santos","Tive meu pedido de prorrogação do meu auxilio doença negado já voltei a trabalhar só que estou sem condições de exercer minha função. Como proceder para dar continuidade ao benefício de auxilio doença."
"Nicelia Pereira Conceicao","Bom dia! Desde ontem 04.01.18 ligo para 135 e dar sinal de ocupado ou desligado. Gostaria de saber se o contribuinte autônomo que já tem agendamento para pedir aposentadoria em março/18  é necessário pagar a contribuição de janeiro/18? A contribuição é trimestral. Obrigada."
"Marcello De Freitas Magalhães","Pagar para ter o benefício dificultado desde a marcação até a concessão. Pagar por 40 anos para ter direito ao seu benefício integralmente..."
"Sandra Bastos","Só cuidado pois se pagar a mais e errado como eu só receberá o dinheiro  a restituição  daqui a 5 anos.  absurdo"
"Paulo Oscar","Fazem esperar por horas para na hora que chama a senha simplesmente falar que o médico da perícia não veio e que irá remarcar não ligam antes avisando fazem esperar horas pra simplesmente falar que o médico não veio . Incompetência estratosférica"
"Priscila de Freitas","Olá boa tarde! Entrei com pedido de auxílio doença (agendado em 30/10/2017 e periciada em 02/01/2018) porém foi indefinido por falta de carência (tenho 10 meses de contribuição). Fui Servidora Municipal Concursada por mais de 6 anos (03/2009 - 11/2015) esse período de contribuição em regime esta ..."
"Rafael Honorato","O texto carece de mais explicações. Sim o Contribuinte Individual poderá recolher os atrasados. Mas para fins de carência os recolhimentos pagos em atraso só contarão se a primeira contribuição for paga em dia. Exemplo: Paguei a primeira contribuição em dia em 15 de fevereiro (Ref.: Competênc ..."
"Maria Gomes","Boa tarde alguem sabe me informa pra quantos vai subi o minimo do INSS pra previdência"
"Beatriz da Costa","Sou contribuinte facultativa e faço o boleto pela internet todo mês. Gostaria de saber o novo valor de contribuição em 2018. Obrigada."
"Rodrigo Evangelista Santos Evangelista Santos","PATRIMÔNIO NACIONAL PS."
"Previdência Social",NA
"Mih Silva","Boa tarde minha vo fez uma procuração pra mim receber a pensão pra ela fizemos td no cartório ela recebe pelo banco do brasil  gostaria de saber se a procuração deve ser levada ao banco ou ao inss?"
"Vania Beatriz","Quero saber sobre o reajuste do benefício pra quem ganha mais que o mínimo estamos quase em janeiro e nenhuma noticia sobre isso!"
"Flavio Domingos Vieira","Boa tarde fiz uma perícia médica e fui aposentado por invalidez permanente mas ate agora não recebi o comunicação do inss fuina agência la disse que foi aprovado  como devo fazer"
"Joselito Correia Deoliveira","bom-dia eu estou tentando a mais de  15 dias cadastra uma senha levo mais de 40 minutos e nada não tem um meio mais fácil para fazer essa senha. muito obrigado"
"Zelia Gomes","Eu Zèlia gomes desejo dois mil e dezoito felis com b felicidade para todos da previdêcia incluindo os Idozos."
"Lucas Aurélio","Recebo loas tenho que da declaração de vida."
"Jose Helio Nicaretta","Quando vocês vão aceitar contribuições antes de 94"
"Alain Paiva","Muito complicado tive o pior natal e ano novo da minha vida graças a toda a burocracia e dificuldade que vocês impõe aos contribuintes/segurados sofri um acidente no dia 15/10/2017 marquei minha perícia para 03/2017 no dia não pude comparecer mas fui dentro do prazo de 7 dias justificar e não de ..."
"Ronaldo Bianchini","Próspero  para Quem? Michel Temer?  Rodrigo Maia? Henrrique Meirelles? Que prosperidade nos do povo  podemos esperar se está reforma for aprovada?"
"Keu Santos","Tive meu pedido de prorrogação do meu auxilio doença negado já voltei a trabalhar só que estou sem condições de exercer minha função. Como proceder para dar continuidade ao benefício de auxilio doença."
"Joceli Daher","Desejo que esta reforma previdência NÃO SEJA APROVADA  é uma afronta aos brasileiros .Vamos  ficar atentos para não elegermos os deputados que votaram a favor."
"Brasil de Abreu","Obrigado com esperanças de que essa voraz reforma não seja aprovada."
"Piechontcoski Claudio","Prosperar como se vejo sanguessugas e vermes prosperando ilicitamente e esses mesmos vermes querendo sugar nossas entranhas ."
"Charlie Harper","2% de aumento? É uma afronta essa publicação."
"Caroline Ribeiro","Sarcasmos?"
"Maria Gorete Trincado Henrique","Com o salário da previdencia falar em prospero ?sem noção !!!!!!"
"Luiz Motta","Estou totalmente aturdido!"
"Camila Sailer Rafanhim Borba","Próspero ano novo sem reforma da previdência? Ou próspero pra quem???"
"Margarida Jorge","Próspero  só se for para o ilegítimo e sua turma."
"Bernadete Drumond","Quando vão pagar os atrasados da desaposentacao?????"
"Anne Lore Schmidt","Obrigada e um feliz natal a vcs"
"Cinthia Lira",NA
"Malevola Kendor","Até quando vai o recesso e pois na internet diz que é do dia 26 de dezembro há 5 de janeiro vai ter ou não"
"Pricila Huf","Bernadete Huf <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0092>?<f0><U+009F>?<U+00BC><e2><U+0080>?<U+2640><ef><U+00B8>?<f0><U+009F><U+0092>?<f0><U+009F>?<U+00BC><e2><U+0080>?<U+2640><ef><U+00B8>?<f0><U+009F><U+0092>?<f0><U+009F>?<U+00BC><e2><U+0080>?<U+2640><ef><U+00B8>?"
"Lanynha Lima","Rosilene Leal"
"Previdência Social","Para saber dos requisitos onde e quando pedir acesse o link: https://portal.inss.gov.br/beneficios/salario-maternidade/"
"Wellis Almeida","Bom dia tentei entrar no link mais não deu certo ...   Meu filho tem 06 meses . Minha esposa trabalho só 06 meses de carteira assinada . E eu trabalho de carteira assinada . Só quer estou encostado pelo INSS . . A minha esposa tem direito  de receber esse benefício ?"
"Ehlenasarah St","Bom dia! O salario maternidade é para todas as mamães ou só para quem contribui para o INSS?Minha filha tem um bebê que completa hoje 2 anos e está esperando outro bebê. O que ela tem direito? Esta está desempregada!"
"Gra Corsini","O problema é que vc aguarda um prazo para uma resposta  ai se passa 5 10 15 dias 1 mês .. e vc procura se informar o pq da demora..  e te respondem q tem q esperar. Mas ja passou o prazo e mesmo assim tem q esperar? Decepcionada .. estou aguardando e até agora nada."
"Zelina Arcanjo Viana","Bom dia . Caso a reforma seja aprovada as pessoas de 59 anos comecaram a perder seus direitos no ato da aprovação ou eles não perderam direitos"
"Nilton César","eu queria a lista dos papéis que eu tenho que levar no dia da consulta do salário maternidade eu tentei pegar pela internet só que eu não consegui tá bloqueado tinha como passar para mim fazendo favor"
"Luciane Medeiros","Tenho uma irmã que trabalhou por 15 anos na mesma empresa. Ela se desligou em 01/10/17 e descobriu que estava grávida algumas semanas do desligamento. A data provável do parto foi marcada para 22/05/18. Ela tem direito ao recebimento do auxílio maternidade?"
"Adenice Ribeiro DA Silva","Bom dia ganhei nenê dia 18/ 12/ 2017. Ele está na uti por ser muito  prematuro. Ele nasceu com 28semanas e 4 dias. Devo esperar ou já dar entrada agora."
"Carlos Roberto Martins Santa Roberto","Bom dia Eu sou Carlos Roberto Martins Santa Roberto.Gostaria informações  pra uma comadre se tem direito. Vai fazer 1 ano dia 17 janeiro foi dado baixa carteira trabalho.Dela  parece só pode dá entrada com 36 semanas . Vai completar dia 25 janeiro  gostaria resposta."
"Ana Caroline Leal","Bom dia tem mais de 2 anos que não assino minha carteira minha filha tem 13 mês tenho direito ao benefício?"
"Deusy Lima","Quem trabalha carteira assinada tem direito"
"Suenia Costa","Ola boa tarde queria agendar mas nao tou conseguindo"
"Anna Paula Santos","Sai da empresa meu filho tinha 7 meses e peguei meu seguro desemprego normal agora tem dois meses que estou trabalhando de carteira assinada meu filho tá com um ano e três meses tenho direito a esse salário?"
"Letícia Lewis","Bom dia... Minha filha tem 3 meses ela nasceu 06/10/2017 será que tenho direito ainda?"
"Jessica Veras","Bom dia ! Fui mandada embora embora em julho do ano passado e em dezembro do ano passado descobri que estou grávida ! Tenho direito a receber o salário maternidade ?"
"Míriam Mello","Bom dia! Gostaria de tirar as seguintes dúvidas: Qual o valor que recebe de salário maternidade  A contribuinte que contribui avulso com 11% do salário mínimo? Qual o valor recebido  (salário maternidade) pela segurada especial no caso específico agricultora sindicalizada?E se ambas têm direit ..."
"Rodrigo Diniz","Minha esposa ganhou o bebê recentemente e estamos desempregado no momento ela tem direito???"
"Camila Xavier","bom dia dei entrada dia 14/11 no auxilio maternidade o prazo era ate 29/12 atè hoje nao tive resposta oq devo fazer? vou no inss ou aguardo ?"
"Vanessa Praxedes","Eu trabalhei de carteira assinada ate dezembro de 2016 recebi seguro ate abril em maio engravidei gostaria de saber se tenho direito salario maternidade"
"Caroline Daronch Da Silva Ziani","Gente de Deus!  Paguem como autônomo no mínimo 8 meses. Depois você pode solicitar.  Sem esse tempo de contribuição não dá."
"Claudio Junior Moreira","Boa noite tenho uma filha de 4anos contribuir com INSS quando ela tinha 06meses pedi as c"
"Claudio Junior Moreira","Ops desculpe  pedi a conta  E não sabia será  Que ainda posso pegar mesmo hoje estando empregada"
"Marcello De Freitas Magalhães","Entrem antes da concepção. Assim quando completar 15 anos receberá o benefício."
"Maria Mdsousa","Segurados ou nao podem receber."
"Rodrigo Evangelista Santos Evangelista Santos","PROFUNDOS DESENVOLVIMENTOS."
"Nilton César","tem alguém para me responder aqui tem alguém"
"Previdência Social","Informação adicional no link: https://goo.gl/jHdsLr"
"Rita de Cassia","Ja fui duas vezes ao banco para fazer a prova de vida....porem o caixa do banco me informou que nao havia nenhuma pedido e ai o que eu faço?????"
"Raquel Braga","Pago INSs desde 2015 meu pedido de salário maternidade já tem mais de um ano que enrrola e fiquei sabendo ontem que foi NEGADO POR UNANIMIDADE por falta de carência!!!! Porquê??"
"Ehlenasarah St","Minha filha tem um bebê de 2 anos e está grávida! Tem 33 anos e trabalhou já em média 12 anos registrada e está desempregada atualmente.  Quais direitos ela tem? O que ela pode receber para o auxílio de manter a família pois seu esposo trabalha como bico e não tem registro em carteira?"
"Ginelma Pinheiro","desde de quinta feira tenho tentado fazer inscrição do NIT pela internet e nenhum êxodo o 135 parece que não funciona no celularquem pode me orientar por favor???"
"Thamyres Souza","No meu extrato bancário saiu pra mim ir só em março fazer a prova de vida porque tem falado que é só em fevereiro"
"Raül Silva","Nunca queira precisa do auxílio doença pois se você precisar além de você ser roubado um mês de trabalho que você contribui todo mês eles te passam o endereço Av São João 869 quando você chega lá viro uma academia já faz pouco mas de 5 mêses !!! Você vai na previdência um atendente fala vem amanhã  ..."
"Jessica Lira","Previdência Social a renovação de senha do INSS serve como prova de vida?"
"Maria De Fatima Rufino","Me responda por favor e quem é aposentado por tempo de contribuição tem que fazer a revisão"
